sub_industry,Industry,sector,sic_code,sic_description
Breeders & Dealers,Agriculture,Agriculture & Farming,46230,Wholesale of live animals
Breweries,Beverage Manufacturing,Consumer Goods & Services,11050,Manufacture of beer
Brewery Technical Services,Consulting Services,Professional Services,11050,Manufacture of beer
Brewery Tours,Travel & Leisure,Hospitality,11050,Manufacture of beer
Brick Block Haulage,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Brick Manufacturers & OEM Manufacturers,Building Materials & Products,Manufacturing & Industrials,23320,"Manufacture of bricks, tiles and construction products, in baked clay"
Brick Merchants,Building Materials & Products,Construction & Materials,46730,"Wholesale of wood, construction materials and sanitary equipment"
Bricklaying,Construction & Engineering,Construction & Materials,41202,Construction of domestic buildings
Bridal Design,Apparel,Consumer Goods & Services,14190,Manufacture of other wearing apparel and accessories n.e.c.
Bridal Shops,Apparel,Consumer Goods & Services,47710,Retail sale of clothing in specialised stores
Broadband Services,Telecommunication Services & Engineering,Telecommunications,61900,Other telecommunications activities
Broadcasting Services,Broadcasting,"Media, Publishing & Entertainment",60200,Television programming and broadcasting activities
Brokerage Services,Capital Markets,Financial Services,66190,Activities auxiliary to financial intermediation n.e.c.
Brownfield Remediation,Environmental Engineering & Services,Manufacturing & Industrials,39000,Remediation activities and other waste management services
Brush Manufacturers,Household Goods & Services,Manufacturing & Industrials,32910,Manufacture of brooms and brushes
Budget Management,Professional & Commercial Services,Professional Services,70229,Management consultancy activities other than financial management
Buffet,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Builders Merchants,Building Materials & Products,Construction & Materials,47530,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
Builders/Construction Firm,Construction & Engineering,Construction & Materials,41202,Construction of domestic buildings
Building & Extension Plans,Architectural Services,Construction & Materials,71111,Architectural activities
"Building Blocks Suppliers, Distributors, and Manufacturers",Building Materials & Products,Construction & Materials,23610,Manufacture of concrete products for construction purposes
Building Consultants,Consulting Services,Professional Services,71111,Architectural activities
Building Information Modeling (BIM) Services,Engineering Services,Professional Services,71111,Architectural activities
Building Materials Suppliers,Building Materials & Products,Construction & Materials,46730,"Wholesale of wood, construction materials and sanitary equipment"
Building Refurbishment And Renovation Contractors,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Building Services,Facilities Management,Professional Services,81100,Combined facilities support activities
Building Societies & Other Financial Institutions,Banks,Financial Services,64192,Building societies
Buildings - Sectional And Portable,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Built Environment,Construction & Engineering,Construction & Materials,71112,Urban planning and landscape architectural activities
Built-in & Fitted Sliding Door Wardrobes,Furniture,Manufacturing & Industrials,31090,Manufacture of other furniture
Bulb Growers & Suppliers,Agriculture,Agriculture & Farming,01190,Growing of other non-perennial crops
Bulk Haulage,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Janitorial Equipment & Supplies,Cleaning Supplies,Manufacturing & Industrials,46440,Wholesale of china and glassware and cleaning materials
Bulk Powder Transport,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Bullion Dealers,Consumer Finance,Financial Services,66190,Activities auxiliary to financial intermediation n.e.c.
Bungee Jumping,Entertainment Services,"Media, Publishing & Entertainment",93290,Other amusement and recreation activities n.e.c.
Burglar And Intruder Alarm Systems,Security Services & Equipment,Professional Services,80200,Security systems service activities
Bus & Coach Operators & Stations,Logistics & Transportation,Transportation & Logistics,49390,Other passenger land transport
Business & Sales Development,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Business & Trade Organisations,Civic & Social Organizations,Public Sector & Government,94110,Activities of business and employers membership organisations
Business Advisory,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Business Analysis,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Business and Domestic Software,Software Development & Services,Information Technology,62012,Business and domestic software development
"Business Broker, Transfer Agent",Consulting Services,Professional Services,66190,Activities auxiliary to financial intermediation n.e.c.
Business Centres,Property Rental & Real Estate Services,Real Estate,68209,Other letting and operating of own or leased real estate
Business Development,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Business Energy Comparison,Energy Consulting & Services,Utilities & Energy,70229,Management consultancy activities other than financial management
Business Enterprise Agencies,Business Support Services,Professional Services,82990,Other business support service activities n.e.c.
Business Improvement,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Business Information Services,Information Services,Information Technology,63990,Other information service activities n.e.c.
Business Intelligence,Data Analytics,Information Technology,62020,Information technology consultancy activities
Business Internet,Online & Digital Services,Information Technology,61100,Wired telecommunications activities
Business Management Consultants,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Business Networking Company,Business Support Services,Professional Services,94110,Activities of business and employers membership organisations
Business Planning,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Business Rescue,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Business School,Education Services,Education,85410,Post-secondary non-tertiary education
Business Services,Business Support Services,Professional Services,82990,Other business support service activities n.e.c.
Business Support,Business Support Services,Professional Services,82990,Other business support service activities n.e.c.
Business Travel,Travel & Leisure,Hospitality,79110,Travel agency activities
Butcher,Food Retail,Consumer Goods & Services,47220,Retail sale of meat and meat products in specialised stores
Butchers Equipment & Supplies,Food Service Equipment,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment
Cabinet Makers,Furniture,Manufacturing & Industrials,31090,Manufacture of other furniture
Cable & Wire Equipment Manufacturers,Electrical Equipment & Goods,Manufacturing & Industrials,27320,Manufacture of other electronic and electric wires and cables
Cable & Wire Suppliers,Electrical Equipment & Goods,Manufacturing & Industrials,46520,Wholesale of electronic and telecommunications equipment and parts
Cable Seals,Electrical Equipment & Goods,Manufacturing & Industrials,27320,Manufacture of other electronic and electric wires and cables
"Cafes, Snack Bars & Tea Rooms",Food Delivery & Service,Hospitality,56102,Unlicenced restaurants and cafes
Janitorial Products,Cleaning Supplies,Manufacturing & Industrials,46440,Wholesale of china and glassware and cleaning materials
Calendar Management Specialists,Secretarial & Administrative Services,Professional Services,82110,Combined office administrative service activities
Call Centre,Communication Services & Equipment,Telecommunications,82200,Activities of call centres
Calligraphers,Art & Craft,"Media, Publishing & Entertainment",90030,Artistic creation
Camera And Photographic Supply Stores,Photography,"Media, Publishing & Entertainment",47430,Retail sale of audio and video equipment in specialised stores
Campaign Management,Marketing & Advertising,Marketing & Advertising,73110,Advertising agencies
Campervan Hire,Vehicle Rental,Transportation & Logistics,77110,Renting and leasing of cars and light motor vehicles
Camping Equipment & Supplies,Travel & Leisure,Consumer Goods & Services,47640,"Retail sale of sports goods, fishing gear, camping goods, boats and bicycles"
Camping Sites,Travel & Leisure,Hospitality,55300,"Recreational vehicle parks, trailer parks and camping grounds"
Can Manufacturers,Packaging & Paper Products,Manufacturing & Industrials,25920,Manufacture of light metal packaging
Canap̩ Receptions,Catering & Contract Catering,Hospitality,56210,Event catering activities
Laundry & Dry Cleaning Supplies,Cleaning Supplies,Manufacturing & Industrials,46440,Wholesale of china and glassware and cleaning materials
Candle Manufacturers & Suppliers,Consumer Goods,Consumer Goods & Services,32990,Other manufacturing n.e.c.
Candy Stores,Food Retail,Consumer Goods & Services,47240,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
Cane Goods & Basketware,Furniture,Manufacturing & Industrials,16290,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
Canine Hydrotherapy Courses,Veterinary Education & Training,Education,75000,Veterinary activities
Canine Osteoarthritis,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Canvas Goods,"Textiles, Apparel & Luxury Goods",Consumer Goods & Services,13922,"Manufacture of canvas goods, sacks, etc."
Canvas Printing,Printing Services & Engineering,Manufacturing & Industrials,18129,Printing n.e.c.
Car & Truck Fleet Leasing & Management,Vehicle Rental,Transportation & Logistics,77120,Renting and leasing of trucks and other heavy vehicles
